link,name,value,var,datetime,max,min
https://cincodias.elpais.com/mercados/empresas/acs/,ACS,80.25,3.41,2025-12-02 18:57:05,80.65,78.55
https://cincodias.elpais.com/mercados/empresas/acciona/,Acciona,172.3,1.35,2025-12-02 18:57:05,173.8,169.5
https://cincodias.elpais.com/mercados/empresas/acerinox/,Acerinox,12.03,-1.31,2025-12-02 18:57:05,12.2,12.03
https://cincodias.elpais.com/mercados/empresas/adolfo-dominguez/,Adolfo Dominguez,4.88,0.0,2025-12-02 18:57:05,4.9,4.84
https://cincodias.elpais.com/mercados/empresas/aedas-homes/,Aedas Homes,23.65,0.0,2025-12-02 18:57:05,23.7,23.65
https://cincodias.elpais.com/mercados/empresas/aena/,Aena,23.4,-0.21,2025-12-02 18:57:05,23.71,23.4
https://cincodias.elpais.com/mercados/empresas/airbus/,Airbus,191.36,-0.84,2025-12-02 18:57:05,193.26,188.28
https://cincodias.elpais.com/mercados/empresas/airt-intell-str/,Airt Intell Str,0.1026,-1.34,2025-12-02 18:57:05,0.104,0.101
https://cincodias.elpais.com/mercados/empresas/alantra-partners/,Alantra Part,8.04,-0.49,2025-12-02 18:57:05,8.1,8.02
https://cincodias.elpais.com/mercados/empresas/almirall/,Almirall,12.72,0.31,2025-12-02 18:57:05,12.98,12.66
https://cincodias.elpais.com/mercados/empresas/amrest/,AmRest,3.345,-1.03,2025-12-02 18:57:05,3.39,3.345
https://cincodias.elpais.com/mercados/empresas/amadeus/,Amadeus IT,61.54,-1.85,2025-12-02 18:57:05,62.64,61.12
https://cincodias.elpais.com/mercados/empresas/amper/,Amper,0.1396,-0.42,2025-12-02 18:57:05,0.142,0.139
https://cincodias.elpais.com/mercados/empresas/aperam/,Aperam,32.96,0.73,2025-12-02 18:57:05,33.44,32.96
https://cincodias.elpais.com/mercados/empresas/arcelormittal/,ArcelorMittal,37.33,-0.26,2025-12-02 18:57:05,37.73,37.33
https://cincodias.elpais.com/mercados/empresas/arima/,Arima,7.15,0.0,2025-12-02 18:57:05,7.15,7.15
https://cincodias.elpais.com/mercados/empresas/atresmedia/,Atresmedia,5.39,-0.36,2025-12-02 18:57:05,5.42,5.37
https://cincodias.elpais.com/mercados/empresas/atrys-health/,Atrys Health,2.73,1.11,2025-12-02 18:57:05,2.74,2.66
https://cincodias.elpais.com/mercados/empresas/audax-renovables/,Audax Renov,1.332,-0.59,2025-12-02 18:57:05,1.346,1.322
https://cincodias.elpais.com/mercados/empresas/azkoyen/,Azkoyen,8.42,-0.47,2025-12-02 18:57:05,8.54,8.42
https://cincodias.elpais.com/mercados/empresas/bbva/,BBVA,18.815,0.29,2025-12-02 18:57:05,18.975,13.771
https://cincodias.elpais.com/mercados/empresas/banco-sabadell/,Banco Sabadell,3.195,0.82,2025-12-02 18:57:05,3.219,3.181
https://cincodias.elpais.com/mercados/empresas/banco-santander/,Banco Santander,9.431,1.46,2025-12-02 18:57:05,9.48,9.315
https://cincodias.elpais.com/mercados/empresas/bankinter/,Bankinter,14.01,2.48,2025-12-02 18:57:05,14.16,13.885
https://cincodias.elpais.com/mercados/empresas/berkeley-energia/,Berkeley Energi,0.289,-2.03,2025-12-02 18:57:05,0.294,0.2885
https://cincodias.elpais.com/mercados/empresas/bodegas-riojanas/,Bodegas Riojanas,2.5345,3.44,2025-12-02 18:57:05,2.5365,2.35
https://cincodias.elpais.com/mercados/empresas/caf/,CAF,53.2,-1.11,2025-12-02 18:57:05,54.3,53.1
https://cincodias.elpais.com/mercados/empresas/cevasa/,CEVASA,7.8,0.0,2025-12-02 18:57:05,7.8,7.8
https://cincodias.elpais.com/mercados/empresas/cie-automotive/,CIE Automotive,29.75,-0.33,2025-12-02 18:57:05,29.9,29.55
https://cincodias.elpais.com/mercados/empresas/cox-abg-group/,COX ABG Group,9.46,-1.25,2025-12-02 18:57:05,9.54,9.34
https://cincodias.elpais.com/mercados/empresas/caixabank/,Caixabank,9.916,1.95,2025-12-02 18:57:05,9.984,9.75
https://cincodias.elpais.com/mercados/empresas/caja-mediterraneo/,Caja Mediterraneo,1.34,0.0,2025-12-02 18:57:05,1.34,1.34
https://cincodias.elpais.com/mercados/empresas/cellnex-telecom/,Cellnex Telecom,24.96,-2.53,2025-12-02 18:57:05,25.59,24.87
https://cincodias.elpais.com/mercados/empresas/cirsa-enterpris/,Cirsa Enterpris,13.9,-2.11,2025-12-02 18:57:05,14.3,13.89
https://cincodias.elpais.com/mercados/empresas/cleop/,Cleop,1.15,0.0,2025-12-02 18:57:05,1.15,1.15
https://cincodias.elpais.com/mercados/empresas/clinica-baviera/,Clinica Baviera,47.1,-0.21,2025-12-02 18:57:05,47.6,46.4
https://cincodias.elpais.com/mercados/empresas/coca-cola-eupac/,Coca-Cola EuPac,79.6,0.5,2025-12-02 18:57:05,80.0,77.6
https://cincodias.elpais.com/mercados/empresas/inmobiliaria-colonial/,Colonial SFL,5.255,-0.28,2025-12-02 18:57:05,5.315,5.255
https://cincodias.elpais.com/mercados/empresas/crp-acc-ener-rn/,Crp Acc Ener Rn,21.08,2.03,2025-12-02 18:57:05,21.3,20.54
https://cincodias.elpais.com/mercados/empresas/deoleo/,DEOLEO,0.198,-1.49,2025-12-02 18:57:05,0.204,0.198
https://cincodias.elpais.com/mercados/empresas/desa/,DESA,17.0,0.0,2025-12-02 18:57:05,17.0,17.0
https://cincodias.elpais.com/mercados/empresas/dia/,DIA,31.35,1.95,2025-12-02 18:57:05,31.7,30.7
https://cincodias.elpais.com/mercados/empresas/duro-felguera/,Duro Felguera,0.2055,0.73,2025-12-02 18:57:05,0.2075,0.202
https://cincodias.elpais.com/mercados/empresas/ence-energia/,ENCE Energia,2.302,-2.78,2025-12-02 18:57:05,2.372,2.302
https://cincodias.elpais.com/mercados/empresas/ebro-foods/,Ebro Foods,17.96,-0.66,2025-12-02 18:57:05,18.2,17.9
https://cincodias.elpais.com/mercados/empresas/ecoener/,Ecoener,4.86,0.2,2025-12-02 18:57:05,4.92,4.82
https://cincodias.elpais.com/mercados/empresas/elecnor/,Elecnor,30.0,2.91,2025-12-02 18:57:05,30.35,29.2
https://cincodias.elpais.com/mercados/empresas/enagas/,Enagas,14.345,0.59,2025-12-02 18:57:05,14.4,14.25
https://cincodias.elpais.com/mercados/empresas/endesa/,Endesa,31.01,0.61,2025-12-02 18:57:05,31.1,30.85
https://cincodias.elpais.com/mercados/empresas/ercros/,Ercros,3.285,-0.3,2025-12-02 18:57:05,3.295,3.28
https://cincodias.elpais.com/mercados/empresas/faes-farma/,Faes Farma,4.765,0.31,2025-12-02 18:57:05,4.765,4.735
https://cincodias.elpais.com/mercados/empresas/ferrovial/,Ferrovial,56.26,0.39,2025-12-02 18:57:05,56.62,56.04
https://cincodias.elpais.com/mercados/empresas/fluidra/,Fluidra,23.62,0.51,2025-12-02 18:57:05,23.78,23.42
https://cincodias.elpais.com/mercados/empresas/fomento-constr/,Fom Con Contratas,11.52,0.17,2025-12-02 18:57:05,11.66,11.42
https://cincodias.elpais.com/mercados/empresas/gam/,GAM,1.43,0.0,2025-12-02 18:57:05,1.43,1.42
https://cincodias.elpais.com/mercados/empresas/grupo-ezentis/,GRUPO EZENTIS,0.0873,-1.02,2025-12-02 18:57:05,0.0889,0.0871
https://cincodias.elpais.com/mercados/empresas/gestamp-automocion/,Gestamp Autom.,2.982,0.13,2025-12-02 18:57:05,3.01,2.974
https://cincodias.elpais.com/mercados/empresas/global-dominion/,Global Dominion,3.305,-0.6,2025-12-02 18:57:05,3.345,3.3
https://cincodias.elpais.com/mercados/empresas/grenergy-renovables/,Grenergy Renov.,70.4,3.52,2025-12-02 18:57:05,70.9,68.2
https://cincodias.elpais.com/mercados/empresas/grifols-pref/,Grifols,7.575,-0.32,2025-12-02 18:57:05,7.64,7.55
https://cincodias.elpais.com/mercados/empresas/grifols/,Grifols,10.43,-0.71,2025-12-02 18:57:05,10.575,10.43
https://cincodias.elpais.com/mercados/empresas/grp-empr-s-jose/,Grp Emp S Jose,7.76,2.91,2025-12-02 18:57:05,7.83,7.62
https://cincodias.elpais.com/mercados/empresas/catalana-occidente/,Grupo Catalana Occ,49.45,-0.5,2025-12-02 18:57:05,49.65,49.1
https://cincodias.elpais.com/mercados/empresas/hbx-grp-intl/,HBX Grp Intl,6.02,-4.74,2025-12-02 18:57:05,6.28,6.01
https://cincodias.elpais.com/mercados/empresas/iberdrola/,Iberdrola,18.09,0.8,2025-12-02 18:57:05,18.24,18.01
https://cincodias.elpais.com/mercados/empresas/iberpapel/,Iberpapel,20.5,1.99,2025-12-02 18:57:05,20.8,20.1
https://cincodias.elpais.com/mercados/empresas/inditex/,Inditex,49.07,-0.44,2025-12-02 18:57:05,49.85,48.45
https://cincodias.elpais.com/mercados/empresas/indra/,Indra Sistemas,45.54,1.97,2025-12-02 18:57:05,46.08,44.9
https://cincodias.elpais.com/mercados/empresas/inmobiliaria-sur/,Inmobiliaria Sur,14.0,0.0,2025-12-02 18:57:05,14.2,14.0
https://cincodias.elpais.com/mercados/empresas/inmocemento/,Inmocemento,3.5,-1.4,2025-12-02 18:57:05,3.55,3.5
https://cincodias.elpais.com/mercados/empresas/innov-solut-eco/,Innov Solut Eco,0.565,0.0,2025-12-02 18:57:05,0.565,0.565
https://cincodias.elpais.com/mercados/empresas/intl-cons-air/,Intl. C. Air Gp,4.428,-1.18,2025-12-02 18:57:05,4.473,4.428
https://cincodias.elpais.com/mercados/empresas/izertis/,Izertis,10.75,1.41,2025-12-02 18:57:05,10.9,10.35
https://cincodias.elpais.com/mercados/empresas/labreig-jofre/,Lab.Reig Jofre,2.73,1.48,2025-12-02 18:57:05,2.74,2.65
https://cincodias.elpais.com/mercados/empresas/labor-farmac/,Laborat Farmac,59.2,-1.33,2025-12-02 18:57:05,60.5,59.05
https://cincodias.elpais.com/mercados/empresas/libertas-7/,Libertas 7,3.06,-0.64,2025-12-02 18:57:05,3.12,3.06
https://cincodias.elpais.com/mercados/empresas/linea-directa/,Linea Directa,1.12,-1.75,2025-12-02 18:57:05,1.144,1.12
https://cincodias.elpais.com/mercados/empresas/lingotes-especiales/,Lingotes Especiales,5.3,1.92,2025-12-02 18:57:05,5.4,4.92
https://cincodias.elpais.com/mercados/empresas/logista/,Logista Integ,29.66,0.27,2025-12-02 18:57:05,29.82,29.6
https://cincodias.elpais.com/mercados/empresas/merlin-properties/,MERLIN Prop.,12.63,-0.55,2025-12-02 18:57:05,12.78,12.61
https://cincodias.elpais.com/mercados/empresas/mfe-media/,MFE-MEDIA,3.01,-1.5,2025-12-02 18:57:05,3.02,3.004
https://cincodias.elpais.com/mercados/empresas/mapfre/,Mapfre,4.05,0.54,2025-12-02 18:57:05,4.06,4.012
https://cincodias.elpais.com/mercados/empresas/melia-hotels/,Melia Hotels,7.24,-1.49,2025-12-02 18:57:05,7.36,7.2
https://cincodias.elpais.com/mercados/empresas/metrovacesa/,Metrovacesa,11.3,-0.87,2025-12-02 18:57:05,11.65,11.3
https://cincodias.elpais.com/mercados/empresas/miquel-y-costas/,Miquel y Costas,14.25,2.15,2025-12-02 18:57:05,14.25,13.9
https://cincodias.elpais.com/mercados/empresas/montebalito/,Montebalito,1.71,-2.28,2025-12-02 18:57:05,1.75,1.71
https://cincodias.elpais.com/mercados/empresas/naturgy/,Naturgy Grp,27.04,1.8,2025-12-02 18:57:05,27.04,26.48
https://cincodias.elpais.com/mercados/empresas/naturhouse/,Naturhouse,2.12,0.95,2025-12-02 18:57:05,2.18,2.1
https://cincodias.elpais.com/mercados/empresas/neinor-homes/,Neinor Homes,18.32,0.21,2025-12-02 18:57:05,18.54,18.26
https://cincodias.elpais.com/mercados/empresas/nicolas-correa/,Nicolas Correa,9.34,-1.47,2025-12-02 18:57:05,9.5,9.3
https://cincodias.elpais.com/mercados/empresas/nueva-expresion-textil/,Nueva Expr Text,0.812,-0.24,2025-12-02 18:57:05,0.838,0.812
https://cincodias.elpais.com/mercados/empresas/nyesa-valores/,Nyesa Valores,0.0072,-2.7,2025-12-02 18:57:05,0.0076,0.0068
https://cincodias.elpais.com/mercados/empresas/ohl/,Obr Huarte Lain,0.3705,4.66,2025-12-02 18:57:05,0.375,0.354
https://cincodias.elpais.com/mercados/empresas/oryzon-genomics/,Oryzon Genomics,3.18,-2.45,2025-12-02 18:57:05,3.3,3.17
https://cincodias.elpais.com/mercados/empresas/prisa/,PRISA,0.37,1.92,2025-12-02 18:57:05,0.377,0.37
https://cincodias.elpais.com/mercados/empresas/pescanova/,Pescanova,0.28,0.0,2025-12-02 18:57:05,0.29,0.28
https://cincodias.elpais.com/mercados/empresas/pharma-mar/,Pharma Mar,72.85,-0.41,2025-12-02 18:57:05,73.7,72.55
https://cincodias.elpais.com/mercados/empresas/prim/,Prim,13.7,2.23,2025-12-02 18:57:05,13.8,13.05
https://cincodias.elpais.com/mercados/empresas/prosegur/,Prosegur,2.62,-0.56,2025-12-02 18:57:05,2.63,2.575
https://cincodias.elpais.com/mercados/empresas/prosegur-cash/,Prosegur Cash,0.644,-0.61,2025-12-02 18:57:05,0.653,0.641
https://cincodias.elpais.com/mercados/empresas/puig-brands/,Puig Brands,14.49,-1.29,2025-12-02 18:57:05,14.71,14.46
https://cincodias.elpais.com/mercados/empresas/renta-4/,RENTA 4 BANCO,19.1,1.05,2025-12-02 18:57:05,19.2,18.9
https://cincodias.elpais.com/mercados/empresas/realia-business/,Realia Busin,0.992,0.0,2025-12-02 18:57:05,1.0,0.992
https://cincodias.elpais.com/mercados/empresas/redeia-corp/,Redeia Corp,15.29,0.06,2025-12-02 18:57:05,15.4,15.29
https://cincodias.elpais.com/mercados/empresas/renta-corporacion/,Renta Corporacion,0.6998,0.25,2025-12-02 18:57:05,0.6998,0.6764
https://cincodias.elpais.com/mercados/empresas/repsol/,Repsol,16.23,0.12,2025-12-02 18:57:05,16.34,16.19
https://cincodias.elpais.com/mercados/empresas/sacyr/,Sacyr,3.812,-0.31,2025-12-02 18:57:05,3.864,3.806
https://cincodias.elpais.com/mercados/empresas/solaria-energia/,Solaria Ener,16.81,2.87,2025-12-02 18:57:05,17.035,16.155
https://cincodias.elpais.com/mercados/empresas/soltec/,Soltec Pow Hold,1.598,0.0,2025-12-02 18:57:05,1.598,1.598
https://cincodias.elpais.com/mercados/empresas/squirrel-media/,Squirrel Media,2.5,0.0,2025-12-02 18:57:05,2.52,2.46
https://cincodias.elpais.com/mercados/empresas/talgo/,Talgo,2.805,0.17,2025-12-02 18:57:05,2.81,2.78
https://cincodias.elpais.com/mercados/empresas/tecnicas-reunidas/,Tecnicas Reunidas,28.56,0.21,2025-12-02 18:57:05,29.08,28.34
https://cincodias.elpais.com/mercados/empresas/telefonica/,Telefonica,3.632,-0.98,2025-12-02 18:57:05,3.689,3.632
https://cincodias.elpais.com/mercados/empresas/tubacex/,Tubacex,3.425,-0.72,2025-12-02 18:57:05,3.46,3.425
https://cincodias.elpais.com/mercados/empresas/tubos-reunidos/,Tubos Reunidos,0.388,1.3,2025-12-02 18:57:05,0.394,0.377
https://cincodias.elpais.com/mercados/empresas/unicaja-banco/,Unicaja Banco,2.592,1.96,2025-12-02 18:57:05,2.602,2.546
https://cincodias.elpais.com/mercados/empresas/urbas/,Urbas Grupo Fin,0.0022,0.0,2025-12-02 18:57:05,0.0022,0.0022
https://cincodias.elpais.com/mercados/empresas/vidrala/,Vidrala,82.4,-1.19,2025-12-02 18:57:05,83.4,82.0
https://cincodias.elpais.com/mercados/empresas/viscofan/,Viscofan,53.0,-0.74,2025-12-02 18:57:05,53.5,52.9
https://cincodias.elpais.com/mercados/empresas/vocento/,Vocento,0.636,0.31,2025-12-02 18:57:05,0.66,0.63
https://cincodias.elpais.com/mercados/empresas/edreams-odigeo/,eDreams ODIGEO,3.815,6.71,2025-12-02 18:57:05,3.86,3.565
